county,state,region,zone
AUTAUGA,AL,4.0,2.0
BALDWIN,AL,4.0,3.0
BARBOUR,AL,4.0,2.0
BIBB,AL,4.0,2.0
BLOUNT,AL,4.0,2.0
BULLOCK,AL,4.0,2.0
BUTLER,AL,4.0,3.0
CALHOUN,AL,4.0,1.0
CHAMBERS,AL,4.0,3.0
CHEROKEE,AL,4.0,2.0
CHILTON,AL,4.0,2.0
CHOCTAW,AL,4.0,3.0
CLARKE,AL,4.0,3.0
CLAY,AL,4.0,1.0
CLEBURNE,AL,4.0,1.0
COFFEE,AL,4.0,3.0
COLBERT,AL,4.0,1.0
CONECUH,AL,4.0,3.0
COOSA,AL,4.0,1.0
COVINGTON,AL,4.0,3.0
CRENSHAW,AL,4.0,3.0
CULLMAN,AL,4.0,2.0
DALE,AL,4.0,3.0
DALLAS,AL,4.0,2.0
DE KALB,AL,4.0,2.0
ELMORE,AL,4.0,2.0
ESCAMBIA,AL,4.0,3.0
ETOWAH,AL,4.0,2.0
FAYETTE,AL,4.0,2.0
FRANKLIN,AL,4.0,1.0
GENEVA,AL,4.0,3.0
GREENE,AL,4.0,2.0
HALE,AL,4.0,2.0
HENRY,AL,4.0,3.0
HOUSTON,AL,4.0,3.0
JACKSON,AL,4.0,1.0
JEFFERSON,AL,4.0,2.0
LAMAR,AL,4.0,2.0
LAUDERDALE,AL,4.0,1.0
LAWRENCE,AL,4.0,1.0
LEE,AL,4.0,2.0
LIMESTONE,AL,4.0,1.0
LOWNDES,AL,4.0,2.0
MACON,AL,4.0,2.0
MADISON,AL,4.0,1.0
MARENGO,AL,4.0,3.0
MARION,AL,4.0,2.0
MARSHALL,AL,4.0,2.0
MOBILE,AL,4.0,3.0
MONROE,AL,4.0,3.0
MONTGOMERY,AL,4.0,2.0
MORGAN,AL,4.0,1.0
PERRY,AL,4.0,2.0
PICKENS,AL,4.0,2.0
PIKE,AL,4.0,3.0
RANDOLPH,AL,4.0,2.0
RUSSELL,AL,4.0,2.0
ST. CLAIR,AL,4.0,2.0
SHELBY,AL,4.0,2.0
SUMTER,AL,4.0,2.0
TALLADEGA,AL,4.0,1.0
TALLAPOOSA,AL,4.0,3.0
TUSCALOOSA,AL,4.0,2.0
WALKER,AL,4.0,2.0
WASHINGTON,AL,4.0,3.0
WILCOX,AL,4.0,3.0
WINSTON,AL,4.0,2.0
ALEUTIANS EAST,AK,10.0,3.0
ALEUTIANS WEST,AK,10.0,3.0
ANCHORAGE,AK,10.0,3.0
BETHEL,AK,10.0,3.0
BRISTOL BAY,AK,10.0,3.0
DENALI,AK,10.0,3.0
DILLINGHAM,AK,10.0,3.0
FAIRBANKS NORTH STAR,AK,10.0,2.0
HAINES,AK,10.0,3.0
JUNEAU,AK,10.0,3.0
KENAI PENINSULA,AK,10.0,2.0
KETCHIKAN GATEWAY,AK,10.0,2.0
KODIAK ISLAND,AK,10.0,3.0
LAKE AND PENINSULA,AK,10.0,3.0
MATANUSKA-SUSITNA,AK,10.0,2.0
NOME,AK,10.0,3.0
NORTH SLOPE,AK,10.0,3.0
NORTHWEST ARCTIC,AK,10.0,3.0
PRINCE OF WALES-OUTER KETCHIKAN,AK,10.0,3.0
SITKA,AK,10.0,3.0
SKAGWAY-HOONAH-ANGOON,AK,10.0,3.0
SOUTHEAST FAIRBANKS,AK,10.0,2.0
VALDEZ-CORDOVA,AK,10.0,3.0
WADE HAMPTON,AK,10.0,3.0
WRANGELL-PETERSBURG,AK,10.0,3.0
YAKUTAT,AK,10.0,3.0
YUKON-KOYUKUK,AK,10.0,3.0
APACHE,AZ,9.0,2.0
COCHISE,AZ,9.0,2.0
COCONINO,AZ,9.0,2.0
GILA,AZ,9.0,2.0
GRAHAM,AZ,9.0,2.0
GREENLEE,AZ,9.0,2.0
LA PAZ,AZ,9.0,2.0
MARICOPA,AZ,9.0,2.0
MOHAVE,AZ,9.0,2.0
NAVAJO,AZ,9.0,2.0
PIMA,AZ,9.0,2.0
PINAL,AZ,9.0,2.0
SANTA CRUZ,AZ,9.0,2.0
YAVAPAI,AZ,9.0,2.0
YUMA,AZ,9.0,2.0
ARKANSAS,AR,6.0,3.0
ASHLEY,AR,6.0,3.0
BAXTER,AR,6.0,2.0
BENTON,AR,6.0,2.0
BOONE,AR,6.0,2.0
BRADLEY,AR,6.0,3.0
CALHOUN,AR,6.0,3.0
CARROLL,AR,6.0,2.0
CHICOT,AR,6.0,3.0
CLARK,AR,6.0,3.0
CLAY,AR,6.0,3.0
CLEBURNE,AR,6.0,3.0
CLEVELAND,AR,6.0,3.0
COLUMBIA,AR,6.0,3.0
CONWAY,AR,6.0,3.0
CRAIGHEAD,AR,6.0,3.0
CRAWFORD,AR,6.0,3.0
CRITTENDEN,AR,6.0,3.0
CROSS,AR,6.0,3.0
DALLAS,AR,6.0,3.0
DESHA,AR,6.0,3.0
